cluster_name,rgb_avg_r,rgb_avg_g,rgb_avg_b,rgb_min_r,rgb_min_g,rgb_min_b,rgb_max_r,rgb_max_g,rgb_max_b,lab_avg_l,lab_avg_a,lab_avg_b,lab_min_l,lab_min_a,lab_min_b,lab_max_l,lab_max_a,lab_max_b
cluster_0,152.803024325824,115.48336505096984,113.50001471496111,0,0,0,255,255,255,131.68200710368512,142.3320041970152,134.92377876941003,0,113,108,255,185,171
cluster_1,146.05335541625823,122.44228117010258,130.3663426451596,0,0,0,255,255,255,135.713551350302,138.53583404408275,127.33158907471484,0,110,98,255,173,193
cluster_2,170.15896506007144,115.4921354145996,121.94803449892274,0,0,0,255,255,255,137.31075451961587,150.20535656944648,133.50745524651228,0,113,103,255,194,167
cluster_3,214.99723504047813,126.89717965273171,82.97109733752391,0,0,0,255,255,255,157.72424912571086,157.90972642639548,166.0423362036208,0,114,109,255,199,200
cluster_4,152.07652208244383,98.50766361421695,87.87105068580426,0,0,0,255,255,255,119.15662887303085,148.25996391000515,143.1952410885322,0,113,116,255,190,193
