cluster_name,rgb_avg_r,rgb_avg_g,rgb_avg_b,rgb_min_r,rgb_min_g,rgb_min_b,rgb_max_r,rgb_max_g,rgb_max_b,lab_avg_l,lab_avg_a,lab_avg_b,lab_min_l,lab_min_a,lab_min_b,lab_max_l,lab_max_a,lab_max_b
cluster_0,151.21227930075727,113.68070991289278,111.5608227619206,0,0,0,255,255,255,129.87936676374335,142.4192701119537,135.0571655051392,0,113,108,255,185,171
cluster_1,145.05764249455504,121.6503721660165,129.43540680696873,0,0,0,255,255,255,134.79466114714612,138.4392962661386,127.39105732365906,0,110,98,255,173,193
cluster_2,171.47983942236164,114.8155039170147,121.04158893288998,0,0,0,255,255,255,137.1312133393465,150.88564667434417,133.99579878694166,0,113,103,255,194,167
cluster_3,210.80019530124991,122.46489415586893,79.96202247553235,0,0,0,255,255,255,153.54924136003567,158.26529116800796,165.5498814284208,0,114,109,255,199,200
cluster_4,150.3950759168877,96.92416114400268,86.02126987374173,0,0,0,255,255,255,117.50594897791858,148.2086289865817,143.34790901992366,0,113,116,255,190,193
