cluster_name,rgb_avg_r,rgb_avg_g,rgb_avg_b,rgb_min_r,rgb_min_g,rgb_min_b,rgb_max_r,rgb_max_g,rgb_max_b,lab_avg_l,lab_avg_a,lab_avg_b,lab_min_l,lab_min_a,lab_min_b,lab_max_l,lab_max_a,lab_max_b
cluster_0,151.05461687957282,101.64333744563515,92.08881708084644,0,0,0,255,255,255,120.99407457631426,146.57817710551518,141.6767859688356,0,113,115,255,190,193
cluster_1,148.1261333976818,119.32975242487372,123.18438874792605,0,0,0,255,255,255,133.5903386119075,139.88391618487736,130.36371684875027,0,110,98,255,185,193
cluster_2,169.16171123331452,113.38497349116973,119.23054677626178,0,0,0,255,255,255,135.45252730805734,150.5330949707805,134.0548745742905,0,113,103,255,194,167
cluster_3,210.80019530124991,122.46489415586893,79.96202247553235,0,0,0,255,255,255,153.54924136003567,158.26529116800796,165.5498814284208,0,114,109,255,199,200
