cluster_name,rgb_avg_r,rgb_avg_g,rgb_avg_b,rgb_min_r,rgb_min_g,rgb_min_b,rgb_max_r,rgb_max_g,rgb_max_b,lab_avg_l,lab_avg_a,lab_avg_b,lab_min_l,lab_min_a,lab_min_b,lab_max_l,lab_max_a,lab_max_b
cluster_0,152.95164061882855,103.79836074818986,94.55675524508824,0,0,0,255,255,255,123.12993101450019,146.47340701243118,141.41588170720524,0,113,115,255,190,193
cluster_1,149.12725000329425,120.43238149700028,124.44871623685457,0,0,0,255,255,255,134.7336763580054,139.86395372781158,130.24426393216123,0,110,98,255,185,193
cluster_2,167.41935764096584,113.76286351169678,119.70004118594191,0,0,0,255,255,255,135.28332775984816,149.79092571544237,133.62110138281903,0,113,103,255,194,167
cluster_3,214.99723504047813,126.89717965273171,82.97109733752391,0,0,0,255,255,255,157.72424912571086,157.90972642639548,166.0423362036208,0,114,109,255,199,200
