cluster,A_mean,B_mean,A_max,B_max,A_min,B_min,RGB_mean,RGB_max,RGB_min
0,142.84296576093328,135.31146668911538,146.90727902946273,143.13454448030822,135.75866744953308,130.67955089269282,[139 130 149],[157 129 153],[122 126 142]
1,139.75803089697132,128.42471449604986,147.25045684071668,134.78154202051564,130.4786431300585,118.3381464989264,[122 131 146],[142 136 154],[ 92 127 136]
2,150.81682980047225,134.5342251530809,161.18906821863564,141.29808463038512,146.8496177316406,126.83380713089255,[145 139 157],[169 146 169],[125 139 153]
3,160.30245621878535,164.13013717076777,167.57235638114895,171.62971680490173,146.66932436937438,159.50490529658614,[206 128 169],[225 129 176],[183 117 154]
4,147.96923577712667,142.27266128693753,159.5585522176366,152.68425824867768,138.39783081735345,137.8945665777232,[156 131 154],[186 136 167],[138 125 145]
