cluster,A_mean,B_mean,A_max,B_max,A_min,B_min,RGB_mean,RGB_max,RGB_min
0,151.8302283357319,165.55133737664474,166.0911962890625,176.80027099609376,140.00855712890626,155.5099658203125,[202 117 146],[235 122 161],[175 114 134]
1,139.19801031946662,141.58187939460458,143.3309814453125,154.86376708984375,130.9668505859375,136.50028822948929,[152 123 132],[177 118 137],[134 117 123]
2,147.48671886412282,141.63932817359824,159.99228271484375,151.54056396484376,143.3599658203125,135.24233154296874,[160 131 141],[189 136 153],[146 131 136]
3,143.04394536090894,135.07364528861058,152.50174560546876,139.15776877446706,138.26098388671875,125.13030029296876,[146 131 136],[162 137 146],[123 131 131]
4,136.1049981916311,131.06614819361337,144.982197265625,137.646767578125,128.46885612513702,116.2544096498694,[132 126 129],[151 130 137],[ 95 125 121]
