cluster,A_mean,B_mean,A_max,B_max,A_min,B_min,RGB_mean,RGB_max,RGB_min
0,152.7007825425092,166.72751895680148,166.0911962890625,176.80027099609376,140.00855712890626,156.80289306640626,[205 117 147],[235 122 161],[176 113 134]
1,140.13296566246947,138.10553476196054,144.10824951171875,144.85716064453126,131.10837799235813,133.571484375,[148 126 133],[162 126 138],[130 120 124]
2,144.7234296342775,146.0013708977769,154.24382080078124,155.5976220703125,130.9668505859375,142.0286865234375,[165 124 138],[190 128 148],[144 113 123]
3,139.8756747350893,128.9721244309029,151.9923486328125,133.406279296875,130.91120418796842,116.2544096498694,[130 130 132],[151 140 144],[ 97 127 123]
4,134.52493448993872,132.90399919753338,138.65798095703124,139.81852406145552,128.46885612513702,125.242822265625,[132 123 127],[148 123 131],[113 121 121]
5,147.32341269344465,138.8885771002603,159.99228271484375,143.91733642578126,143.48518310546876,131.89429443359376,[155 133 140],[176 142 153],[139 133 136]
