cluster_name,rgb_avg_r,rgb_avg_g,rgb_avg_b,rgb_min_r,rgb_min_g,rgb_min_b,rgb_max_r,rgb_max_g,rgb_max_b,lab_avg_l,lab_avg_a,lab_avg_b,lab_min_l,lab_min_a,lab_min_b,lab_max_l,lab_max_a,lab_max_b
cluster_0,174.86989795918367,137.35357840401787,144.0475625797194,30,15,11,255,254,255,154.8749362244898,143.42855847417093,130.0247369260204,16,125,104,255,167,157
cluster_1,175.08456627408364,108.14823925046993,92.03196222979324,46,13,0,255,249,231,133.57394707471803,153.04996255286653,148.49266476738723,23,117,129,250,193,193
cluster_2,168.50165765224358,152.7992951221955,161.29398537660256,7,3,0,255,255,255,164.53807717347757,135.4244190705128,125.71287935697116,2,117,97,255,171,145
cluster_3,202.07852732911985,142.2947527138928,153.01206895921115,69,1,11,255,251,255,166.1989270613881,152.2781959562266,131.60744290584034,34,129,110,252,178,158
cluster_4,172.56976831739195,136.2082542348131,125.78048449364778,8,0,0,255,253,247,152.12974248868284,140.47145836375583,139.0688533604702,1,111,126,253,162,168
