cluster_name,rgb_avg_r,rgb_avg_g,rgb_avg_b,rgb_min_r,rgb_min_g,rgb_min_b,rgb_max_r,rgb_max_g,rgb_max_b,lab_avg_l,lab_avg_a,lab_avg_b,lab_min_l,lab_min_a,lab_min_b,lab_max_l,lab_max_a,lab_max_b
cluster_0,212.9068669577206,136.50813462201285,86.61010182100185,3,0,0,255,255,255,163.28145938648896,152.70078254250922,166.72751895680148,0,114,117,255,198,203
cluster_1,147.07223832422886,113.54522562942577,104.88776953946093,0,0,0,255,255,255,128.17049736626,140.1322088321812,138.10500245781927,0,66,71,255,201,209
cluster_2,158.61678096201848,111.21078390779128,92.9283098687721,0,0,0,255,255,255,129.65186170975898,144.71179102207418,145.98957815273357,0,77,74,255,198,208
cluster_3,146.19995187222395,118.94467047233795,125.11521228283365,0,0,0,255,255,255,132.88118110558239,139.87532324929583,128.97224126740883,0,77,73,255,204,193
cluster_4,138.59026769803236,120.94853699688184,117.01497825211241,0,0,0,255,255,255,131.64405611686286,134.52303586290935,132.9028522625719,0,63,77,255,200,210
cluster_5,148.73400132657122,99.8105199699556,95.5357671929411,0,0,0,255,255,255,118.59278157380953,147.32300802692575,138.88835180716902,0,107,100,255,193,173
