cluster_name,rgb_avg_r,rgb_avg_g,rgb_avg_b,rgb_min_r,rgb_min_g,rgb_min_b,rgb_max_r,rgb_max_g,rgb_max_b,lab_avg_l,lab_avg_a,lab_avg_b,lab_min_l,lab_min_a,lab_min_b,lab_max_l,lab_max_a,lab_max_b
cluster_0,212.9068669577206,136.50813462201285,86.61010182100185,167.89701904296874,101.73586181640626,55.91931640625,241.8708203125,159.3660205078125,112.6160107421875,163.28145938648896,152.70078254250922,166.72751895680148,128.9560302734375,140.00855712890626,156.80289306640626,186.22038330078124,166.0911962890625,176.80027099609376
cluster_1,147.07223832422886,113.54522562942577,104.88776953946093,86.54619963280533,60.513955078125,45.1953602609426,199.08830322265624,156.94358154296876,146.9068017578125,128.17049736626,140.1322088321812,138.10500245781927,70.26205345807536,131.10834763628907,133.571484375,173.3517724609375,144.10824951171875,144.85716064453126
cluster_2,158.61678096201848,111.21078390779128,92.9283098687721,105.76943078622469,71.87704669644864,53.64408742998465,223.772392578125,182.2698388671875,141.74100830078126,129.65186170975898,144.71179102207418,145.98957815273357,85.51103627601442,130.9668505859375,142.0286865234375,196.01859130859376,154.24382080078124,155.5976220703125
cluster_3,146.19995187222395,118.94467047233795,125.11521228283365,89.6943359375,68.48863694659622,77.1275537109375,184.702158203125,160.0614794921875,172.17737060546875,132.88118110558239,139.87532324929583,128.97224126740883,78.57982963359252,130.90815367213935,116.26354694850022,169.50041748046874,151.9923486328125,133.406279296875
cluster_4,138.59026769803236,120.94853699688184,117.01497825211241,79.0249951171875,60.89531005859375,59.81319091796875,197.31915283203125,180.4241552734375,173.480283203125,131.64405611686286,134.52303586290935,132.9028522625719,69.2683740234375,128.46885498046876,125.242822265625,189.20120361328125,138.65798095703124,139.81849520749614
cluster_5,148.73400132657122,99.8105199699556,95.5357671929411,117.03404928648871,75.86754378253778,66.3328254637972,196.6574072265625,139.87072509765625,148.03293212890625,118.59278157380953,147.32300802692575,138.88835180716902,92.02604731346636,143.48518310546876,131.89429443359376,161.62337890625,159.99228271484375,143.91733642578126
