cluster_name,rgb_avg_r,rgb_avg_g,rgb_avg_b,rgb_min_r,rgb_min_g,rgb_min_b,rgb_max_r,rgb_max_g,rgb_max_b,lab_avg_l,lab_avg_a,lab_avg_b,lab_min_l,lab_min_a,lab_min_b,lab_max_l,lab_max_a,lab_max_b
cluster_0,174.86989795918367,137.35357840401787,144.0475625797194,79.691162109375,47.81298828125,51.05517578125,248.8955078125,200.661865234375,220.251953125,154.8749362244898,143.42855847417093,130.0247369260204,61.523681640625,137.85791015625,116.802001953125,217.989501953125,148.0986328125,135.472900390625
cluster_1,175.08456627408364,108.14823925046993,92.03196222979324,98.5888671875,43.83154296875,36.443115234375,249.819091796875,197.928955078125,165.072998046875,133.57394707471803,153.04996255286653,148.49266476738723,68.619384765625,141.3056640625,139.968017578125,213.47607421875,171.427490234375,178.415771484375
cluster_2,168.50165765224358,152.7992951221955,161.29398537660256,81.770751953125,79.750244140625,67.24365234375,232.676025390625,220.732666015625,231.46142578125,164.53807717347757,135.4244190705128,125.71287935697116,87.257568359375,124.735595703125,115.386962890625,223.4521484375,144.14404296875,136.6640625
cluster_3,202.07852732911985,142.2947527138928,153.01206895921115,98.55712890625,43.00146484375,43.377197265625,245.9931640625,189.469482421875,196.4375,166.1989270613881,152.2781959562266,131.60744290584034,64.692138671875,147.033935546875,116.62109375,209.149169921875,165.9248046875,139.905029296875
cluster_4,172.56976831739195,136.2082542348131,125.78048449364778,84.9443359375,54.522705078125,48.951171875,241.1064453125,216.5703125,196.37158203125,152.12974248868284,140.47145836375583,139.0688533604702,67.466064453125,116.690185546875,133.3798828125,220.601806640625,148.76806640625,152.40087890625
