cluster_name,rgb_avg_r,rgb_avg_g,rgb_avg_b,rgb_min_r,rgb_min_g,rgb_min_b,rgb_max_r,rgb_max_g,rgb_max_b,lab_avg_l,lab_avg_a,lab_avg_b,lab_min_l,lab_min_a,lab_min_b,lab_max_l,lab_max_a,lab_max_b
cluster_0,151.21227930075727,113.68070991289278,111.5608227619206,84.82206941895187,43.22431033065775,41.80828972961127,216.51338963924778,182.53850360155695,167.91510938433214,129.87936676374335,142.4192701119537,135.0571655051392,59.38374928088103,132.59135428988148,128.55869132868253,193.79060761670883,150.48274583019077,146.84559751211847
cluster_1,145.05764249455504,121.6503721660165,129.43540680696873,83.07280154348594,73.8889755460535,75.75247237425013,197.36710341236721,182.0095392410572,200.66975963443917,134.79466114714612,138.4392962661386,127.39105732365906,84.34135768601188,128.31693567483748,116.76097795283155,192.25985592054647,151.5029974851951,137.64395624032085
cluster_2,171.47983942236164,114.8155039170147,121.04158893288998,97.9742390074394,57.363025351705765,58.40480470599565,212.04182313180624,163.02549990612093,172.7292996620353,137.1312133393465,150.88564667434417,133.99579878694166,73.49756434229216,144.3828327748504,122.35588624793358,180.8072310364251,161.1331642275134,141.90928244437865
cluster_3,210.80019530124991,122.46489415586893,79.96202247553235,153.51099455315716,69.04745253625624,37.30210175796982,225.62580384021857,158.1361473709894,115.67617782476877,153.54924136003567,158.26529116800796,165.5498814284208,100.76240109385157,142.7748453589615,157.76211712505477,175.6386121390391,167.73983375268844,175.3455569118856
cluster_4,150.3950759168877,96.92416114400268,86.02126987374173,90.14478853354613,47.11788429752066,40.744181818181815,220.52723817192523,172.3322231010457,146.26874674032723,117.50594897791858,148.2086289865817,143.34790901992366,65.89581818181819,135.45841597144664,136.7161363056241,183.85412501639513,157.3266345516735,154.34173128058455
